State #,Name,Start Pos,End Pos,Signal Required,Signal State,Switch Required,Switch State,Remove before,Add after
1,Station Reset,0,0,8191,0,2047,0,0,0
2,Station Lockdown,0,0,8191,0,0,0,0,0
3,Platform 1 Occupied East,0,0,136,0,0,0,0,0
4,Platform 2 Occupied East,0,0,272,0,0,0,0,0
5,Platform 3 Occupied East,0,0,544,0,0,0,0,0
6,Platform 4 Occupied East,0,0,1088,0,0,0,0,0
7,Platform 1 Occupied West,0,0,136,0,0,0,0,0
8,Platform 2 Occupied West,0,0,272,0,0,0,0,0
9,Platform 3 Occupied West,0,0,544,0,0,0,0,0
10,Platform 4 Occupied West,0,0,1088,0,0,0,0,0
11,Main West -> Platform 1,1,8,137,9,14,4,0,3
12,Main West -> Platform 2,1,9,273,17,30,0,0,4
13,Main West -> Platform 3,1,10,545,33,62,16,0,5
14,Main West -> Platform 4,1,11,1089,65,62,48,0,6
15,Main West -> Main East (1),1,12,273,273,1886,0,0,0
16,Main West -> Main East (2),1,12,545,545,1982,272,0,0
17,Main West -> Main East (3),1,12,1089,1089,1982,432,0,0
18,Main West -> Main East (4),1,12,137,137,1870,68,0,0
19,Main West -> Depot (1),1,13,4641,4641,1470,16,0,0
20,Main West -> Depot (2),1,13,5185,5185,1470,176,0,0
21,Main West -> Depot (3),1,13,4369,4369,1886,1024,0,0
22,Main West -> Depot (4),1,13,4233,4233,1870,1092,0,0
23,Branch West -> Platform 1,2,8,138,10,15,6,0,3
24,Branch West -> Platform 2,2,9,274,18,31,2,0,4
25,Branch West -> Platform 3,2,10,546,34,51,0,0,5
26,Branch West -> Platform 4,2,11,1090,66,51,32,0,6
27,Branch West -> Main East (1),2,12,546,546,1971,256,0,0
28,Branch West -> Main East (2),2,12,274,274,1887,2,0,0
29,Branch West -> Main East (3),2,12,1090,1090,1971,416,0,0
30,Branch West -> Main East (4),2,12,138,138,1871,70,0,0
31,Branch West -> Depot (1),2,13,4642,4642,1459,0,0,0
32,Branch West -> Depot (2),2,13,5186,5186,1459,160,0,0
33,Branch West -> Depot (3),2,13,4370,4370,1887,1026,0,0
34,Branch West -> Depot (4),2,13,4234,4234,1871,1094,0,0
35,Depot West -> Platform 1,3,8,140,12,15,7,0,3
36,Depot West -> Platform 2,3,9,276,20,31,3,0,4
37,Depot West -> Platform 3,3,10,548,36,51,1,0,5
38,Depot West -> Platform 4,3,11,1092,68,33,0,0,6
39,Depot West -> Main East (1),3,12,276,276,1887,3,0,0
40,Depot West -> Main East (2),3,12,1092,1092,1953,384,0,0
41,Depot West -> Main East (3),3,12,548,548,1971,257,0,0
42,Depot West -> Main East (4),3,12,140,140,1871,71,0,0
43,Depot West -> Depot (1),3,13,5188,5188,1441,128,0,0
44,Depot West -> Depot (2),3,13,4644,4644,1971,1,0,0
45,Depot West -> Depot (3),3,13,4372,4372,1887,1027,0,0
46,Depot West -> Depot (4),3,13,4236,4236,1871,1095,0,0
47,Platform 1 West -> Main West,4,1,8,8,12,0,7,0
48,Platform 1 West -> Branch West,4,2,10,10,15,6,7,0
49,Platform 1 West -> Depot,4,3,12,12,15,7,7,0
50,Platform 2 West -> Main West,5,1,16,16,28,8,8,0
51,Platform 2 West -> Branch West,5,2,18,18,31,2,8,0
52,Platform 2 West -> Depot,5,3,20,20,31,3,8,0
53,Platform 3 West -> Main West,6,1,32,32,60,24,9,0
54,Platform 3 West -> Branch West,6,2,34,34,51,0,9,0
55,Platform 3 West -> Depot,6,3,36,36,51,1,9,0
56,Platform 4 West -> Main West,7,1,64,64,60,56,10,0
57,Platform 4 West -> Branch West,7,2,66,66,51,32,10,0
58,Platform 4 West -> Depot,7,3,68,68,33,0,10,0
59,Platform 1 East  -> Main East,8,12,128,128,1856,64,3,0
60,Platform 1 East -> Depot,8,13,4224,4224,1856,1088,3,0
61,Platform 2 East -> Main East,9,12,256,256,1856,0,4,0
62,Platform 2 East -> Depot,9,13,4352,4352,1856,1024,4,0
63,Platform 3 East -> Main East,10,12,512,512,1920,256,5,0
64,Platform 3 East -> Depot,10,13,4608,4608,1408,0,5,0
65,Platform 4 East -> Main East,11,12,1024,1024,1920,384,6,0
66,Platform 4 East -> Depot,11,13,5120,5120,1408,128,6,0
67,Main East -> Main West (1),12,1,2184,2184,588,0,0,0
68,Main East -> Main West (2),12,1,2320,2320,860,520,0,0
69,Main East -> Main West (3),12,1,2592,2592,956,792,0,0
70,Main East -> Main West (4),12,1,3136,3136,956,952,0,0
71,Main East -> Branch West (1),12,2,2594,2594,947,768,0,0
72,Main East -> Branch West (2),12,2,2186,2186,591,6,0,0
73,Main East -> Branch West (3),12,2,3138,3138,947,928,0,0
74,Main East -> Branch West (4),12,2,2322,2322,863,514,0,0
75,Main East -> Depot (1),12,3,3140,3140,929,896,0,0
76,Main East -> Depot (2),12,3,2596,2596,947,769,0,0
77,Main East -> Depot (3),12,3,2188,2188,591,7,0,0
78,Main East -> Depot (4),12,3,2324,2324,863,515,0,0
79,Main East -> Platform 1,12,4,2184,2176,576,0,0,7
80,Main East -> Platform 2,12,5,2320,2304,832,512,0,8
81,Main East -> Platform 3,12,6,2592,2560,896,768,0,9
82,Main East -> Platform 4,12,7,3136,3072,896,896,0,10
83,Depot East -> Main West (1),13,1,4232,4232,1868,1088,0,0
84,Depot East -> Main West (2),13,1,4640,4640,1468,24,0,0
85,Depot East -> Main West (3),13,1,5184,5184,1468,184,0,0
86,Depot East -> Main West (4),13,1,4368,4368,1884,1032,0,0
87,Depot East -> Branch West (1),13,2,4642,4642,1459,0,0,0
88,Depot East -> Branch West (2),13,2,5186,5186,1459,160,0,0
89,Depot East -> Branch West (3),13,2,4370,4370,1887,1026,0,0
90,Depot East -> Branch West (4),13,2,4234,4234,1871,1094,0,0
91,Depot East -> Depot (1),13,3,5188,5188,1441,128,0,0
92,Depot East -> Depot (2),13,3,4644,4644,1459,1,0,0
93,Depot East -> Depot (3),13,3,4372,4372,1887,1027,0,0
94,Depot East -> Depot (4),13,3,4236,4236,1871,1095,0,0
95,Depot East -> Platform 1,13,4,4232,4224,1856,1088,0,7
96,Depot East -> Platform 2,13,5,4368,4352,1856,1024,0,8
97,Depot East -> Platform 3,13,6,4640,4608,1408,0,0,9
98,Depot East -> Platform 4,13,7,5184,5120,1408,128,0,10
