State #,Name,Start Pos,End Pos,Signal Required,Signal State,Switch Required,Switch State,Remove before,Add after
1,Station Reset,0,0,0,0,0,0,0,0
2,Station Lockdown,0,0,0,0,0,0,0,0
3,Platform 1 Occupied East,0,0,20,0,0,0,0,0
4,Platform 2 Occupied East,0,0,40,0,0,0,0,0
5,Platform 1 Occupied West,0,0,20,0,0,0,0,0
6,Platform 2 Occupied West,0,0,40,0,0,0,0,0
7,Main West -> Platform 1 East,1,5,21,5,7,1,0,3
8,Main West -> Platform 2 East,1,6,41,9,7,5,0,4
9,Main West -> Depot East (1),1,7,105,41,31,5,0,0
10,Main West -> Depot East (2),1,7,85,21,31,17,0,0
11,Main West -> Main East (1),1,8,21,21,63,33,0,0
12,Main West -> Main East (2),1,8,41,41,63,45,0,0
13,Depot West -> Platform 1 East,2,5,22,6,6,2,0,3
14,Depot West -> Platform 2 East,2,6,42,10,6,0,0,4
15,Depot West -> Depot East (1),2,7,0,0,0,0,0,0
16,Depot West -> Depot East (2),2,7,0,0,0,0,0,0
17,Depot West -> Main East (1),2,8,42,42,62,40,0,0
18,Depot West -> Main East (2),2,8,52,52,62,34,0,0
19,Platform 1 West -> Main West,3,1,4,4,7,0,5,0
20,Platform 1 West -> Depot West,3,2,6,4,6,2,5,0
21,Platform 2 West -> Main West,4,1,8,8,7,4,6,0
22,Platform 2 West -> Depot West,4,2,10,8,6,0,6,0
23,Platform 1 East -> Main East,5,8,16,16,56,32,3,0
24,Platform 1 East -> Depot East,5,7,80,16,24,16,3,0
25,Platform 2 East -> Main East,6,8,32,32,56,40,4,0
26,Platform 2 East -> Depot East,6,7,96,32,24,0,4,0
27,Depot East -> Platform 1 West,7,3,84,80,24,16,0,5
28,Depot East -> Platform 2 West,7,4,104,96,24,0,0,6
29,Depot East -> Main West (1),7,1,84,84,31,16,0,0
30,Depot East -> Main West (2),7,1,104,104,31,4,0,0
31,Depot East -> Depot West (1),7,2,0,0,0,0,0,0
32,Depot East -> Depot West (2),7,2,0,0,0,0,0,0
33,Main East -> Platform 1 West,8,3,148,144,56,0,0,5
34,Main East -> Platform 2 West,8,4,168,160,56,8,0,6
35,Main East -> Main West (1),8,1,148,148,63,0,0,0
36,Main East -> Main West (2),8,1,168,160,63,12,0,0
37,Main East -> Depot West (1),8,2,150,148,62,2,0,0
38,Main East -> Depot West (2),8,2,170,168,62,8,0,0
