State #,Name,Start Pos,End Pos,Signal Required,Signal State,Switch Required,Switch State,Remove before,Add after
1,Station Reset,0,0,16383,0,4095,0,0,0
2,Station Lockdown,0,0,16383,0,0,0,0,0
3,Platform 1 Occupied North,0,0,272,0,0,0,0,0
4,Platform 2 Occupied North,0,0,544,0,0,0,0,0
5,Platform 3 Occupied Arrival,0,0,1088,0,0,0,0,0
6,Platform 4 Occupied Arrival,0,0,2176,0,0,0,0,0
7,Platform 1 Occupied South,0,0,272,0,0,0,0,0
8,Platform 2 Occupied South,0,0,544,0,0,0,0,0
9,Platform 3 Occupied Departure,0,0,1088,0,0,0,0,0
10,Platform 4 Occupied Departure,0,0,2176,0,0,0,0,0
11,Main South -> Platform 1 North,1,9,273,17,327,256,0,3
12,Main South -> Platform 2 North,1,10,545,33,327,0,0,4
13,Main South -> Platform 3 Arrival,1,11,1089,65,671,28,0,5
14,Main South -> Platform 3 Departure,1,7,1101,1029,703,524,0,9
15,Main South -> Platform 4 Arrival,1,12,2177,129,671,156,0,6
16,Main South -> Platform 4 Departure,1,8,2189,2053,703,12,0,10
17,Main South -> Main North,1,14,545,545,1351,0,0,0
18,Main South -> Depot (1),1,13,4641,545,3399,3072,0,0
19,Main South -> Depot (2),1,13,4369,273,3399,2304,0,0
20,Depot South -> Platform 1 North,2,9,274,18,327,257,0,3
21,Depot South -> Platform 2 North,2,10,546,34,327,1,0,4
22,Depot South -> Platform 3 Arrival,2,11,1090,66,671,29,0,5
23,Depot South -> Platform 3 Departure,2,7,1102,1030,703,525,0,9
24,Depot South -> Platform 4 Arrival,2,12,2178,130,671,157,0,6
25,Depot South -> Platform 4 Departure,2,8,2190,2182,703,13,0,10
26,Depot South -> Main North,2,14,546,546,1351,1,0,0
27,Platform 1 South -> Main South,5,1,272,16,258,0,7,0
28,Platform 1 South -> Depot,5,2,274,16,327,257,7,0
29,Platform 2 South -> Main South,6,1,544,32,326,2,8,0
30,Platform 2 South -> Depot,6,2,546,32,327,1,8,0
31,Platform 3 Departure -> Main South,7,1,1088,1088,670,30,9,0
32,Platform 3 Departure -> Depot,7,2,1090,1088,671,29,9,0
33,Platform 4 Departure -> Main South,8,1,2176,2176,670,158,10,0
34,Platform 4 Departure -> Depot,8,2,2178,2176,671,157,10,0
35,Platform 1 North -> Depot,9,13,4368,256,3072,2048,3,0
36,Platform 2 North -> Main North,10,14,544,512,1024,0,4,0
37,Platform 2 North -> Depot,10,13,4640,512,3072,3072,4,0
38,Platform 3 Arrival -> Main South,11,1,1100,1096,702,558,5,0
39,Platform 3 Arrival -> Depot,11,2,1102,1096,703,557,5,0
40,Platform 4 Arrival -> Main South,12,1,2188,2184,702,46,6,0
41,Platform 4 Arrival -> Depot,12,2,2190,2184,703,45,6,0
42,Main North -> Main South,14,1,8464,8464,3330,0,0,0
43,Main North -> Depot (1),14,2,8466,8464,3398,256,0,0
44,Main North -> Depot (2),14,2,8738,8736,3398,1024,0,0
45,Main North -> Platform 1 South,14,5,8464,8448,3072,0,0,7
46,Main North -> Platform 2 South,14,6,8736,8704,3072,1024,0,8
47,Depot North -> Main South,13,1,4368,4368,3330,2048,0,0
48,Depot North -> Platform 1 South,13,5,4368,4352,3072,2048,0,7
49,Depot North -> Platform 2 South,13,6,4640,4608,3072,3072,0,8
