State #,Name,Start Pos,End Pos,Signal Required,Signal State,Switch Required,Switch State,Remove before,Add after
1,Station Reset,0,0,0,0,0,0,0,0
2,Station Lockdown,0,0,0,0,0,0,0,0
3,Platform 1 Occupied Arrival,0,0,336,0,0,0,0,0
4,Platform 2 Occupied Arrival,0,0,672,0,0,0,0,0
5,Platform 1 Occupied Departure,0,0,336,0,0,0,0,0
6,Platform 2 Occupied Departure,0,0,672,0,0,0,0,0
7,Main East -> Depot,1,2,3,1,3,3,0,0
8,Main East -> Platform 1 Departure,1,5,349,325,127,109,0,5
9,Main East -> Platform 2 Departure,1,6,685,645,127,45,0,6
10,Main East -> Platform 1 Arrival,1,9,337,17,71,1,0,3
11,Main East -> Platform 2 Arrival,1,10,673,33,111,5,0,4
12,Depot -> Main East,2,1,2,2,3,2,0,0
13,Depot -> Platform 1 Departure,2,5,350,326,126,104,0,5
14,Depot -> Platform 2 Departure,2,6,686,646,126,40,0,6
15,Depot -> Platform 1 Arrival,2,9,338,18,110,64,0,3
16,Depot -> Platform 2 Arrival,2,10,674,34,110,0,0,4
17,Platform 1 Departure -> Main East,5,1,272,272,71,0,5,0
18,Platform 1 Departure -> Depot,5,2,274,272,110,64,5,0
19,Platform 2 Departure -> Main East,6,1,544,544,111,4,6,0
20,Platform 2 Departure -> Depot,6,2,546,544,111,0,6,0
21,Platform 1 Arrival -> Main East,9,1,348,280,127,124,3,0
22,Platform 1 Arrival -> Depot,9,2,348,280,126,120,3,0
23,Platform 2 Arrival -> Main East,10,1,684,552,127,60,4,0
24,Platform 2 Arrival -> Depot,10,2,686,552,126,56,4,0
